"","Country.Territory","Status_2002","PR.Rating_2002","CL.Rating_2002","PR.Aggr_2002","CL.Aggr_2002","Status_2003","PR.Rating_2003","CL.Rating_2003","PR.Aggr_2003","CL.Aggr_2003","Status_2004","PR.Rating_2004","CL.Rating_2004","PR.Aggr_2004","CL.Aggr_2004","Status_2005","PR.Rating_2005","CL.Rating_2005","PR.Aggr_2005","CL.Aggr_2005","Total.Aggr_2005","Status_2006","PR.Rating_2006","CL.Rating_2006","PR.Aggr_2006","CL.Aggr_2006","Total.Aggr_2006","Status_2007","PR.Rating_2007","CL.Rating_2007","PR.Aggr_2007","CL.Aggr_2007","Total.Aggr_2007","Status_2008","PR.Rating_2008","CL.Rating_2008","PR.Aggr_2008","CL.Aggr_2008","Total.Aggr_2008","Status_2009","PR.Rating_2009","CL.Rating_2009","PR.Aggr_2009","CL.Aggr_2009","Total.Aggr_2009","Status_2010","PR.Rating_2010","CL.Rating_2010","PR.Aggr_2010","CL.Aggr_2010","Total.Aggr_2010","Status_2011","PR.Rating_2011","CL.Rating_2011","PR.Aggr_2011","CL.Aggr_2011","Total.Aggr_2011","Status_2012","PR.Rating_2012","CL.Rating_2012","PR.Aggr_2012","CL.Aggr_2012","Total.Aggr_2012","Status_2013","PR.Rating_2013","CL.Rating_2013","PR.Aggr_2013","CL.Aggr_2013","Total.Aggr_2013","Status_2014","PR.Rating_2014","CL.Rating_2014","PR.Aggr_2014","CL.Aggr_2014","Total.Aggr_2014","Status_2015","PR.Rating_2015","CL.Rating_2015","PR.Aggr_2015","CL.Aggr_2015","Total.Aggr_2015","Status_2016","PR.Rating_2016","CL.Rating_2016","PR.Aggr_2016","CL.Aggr_2016","Total.Aggr_2016","Status_2017","PR.Rating_2017","CL.Rating_2017","PR.Aggr_2017","CL.Aggr_2017","Total.Aggr_2017"
"36","Chechnya*","NF",7,7,0,5,"NF",7,7,0,5,"NF",7,7,0,6,"NF",7,7,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NF",7,7,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chile","F",2,1,34,53,"F",1,1,36,56,"F",1,1,38,56,"F",1,1,39,57,96,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,57,96,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,38,57,95,"F",1,1,37,57,94,"F",1,1,37,57,94
"38","China","NF",7,6,3,12,"NF",7,6,3,10,"NF",7,6,2,15,"NF",7,6,2,15,17,"NF",7,6,2,15,17,"NF",7,6,2,16,18,"NF",7,6,2,14,16,"NF",7,6,1,16,17,"NF",7,6,2,15,17,"NF",7,6,2,14,16,"NF",7,6,2,15,17,"NF",7,6,2,15,17,"NF",7,6,2,15,17,"NF",7,6,1,15,16,"NF",7,6,1,14,15,"NF",7,6,0,14,14
"39","Colombia","PF",4,4,23,32,"PF",4,4,23,34,"PF",4,4,23,34,"PF",3,3,24,36,60,"PF",3,3,26,36,62,"PF",3,3,26,35,61,"PF",3,4,26,34,60,"PF",3,4,26,33,59,"PF",3,4,27,34,61,"PF",3,4,27,34,61,"PF",3,4,27,34,61,"PF",3,4,28,34,62,"PF",3,4,29,34,63,"PF",3,4,29,34,63,"PF",3,3,29,35,64,"PF",3,3,29,36,65
"40","Comoros","PF",5,4,13,27,"PF",5,4,15,28,"PF",4,4,18,29,"PF",4,4,18,30,48,"PF",3,4,24,30,54,"PF",4,4,23,30,53,"PF",3,4,25,30,55,"PF",3,4,25,30,55,"PF",3,4,25,30,55,"PF",3,4,25,30,55,"PF",3,4,25,30,55,"PF",3,4,25,30,55,"PF",3,4,25,30,55,"PF",3,4,24,31,55,"PF",3,4,24,31,55,"PF",3,4,24,31,55
"41","Congo (Brazzaville)","PF",6,4,11,28,"PF",5,4,12,30,"PF",5,4,12,30,"PF",5,5,12,25,37,"NF",6,5,11,24,35,"NF",6,5,8,24,32,"NF",6,5,9,24,33,"NF",6,5,7,22,29,"NF",6,5,7,22,29,"NF",6,5,7,22,29,"NF",6,5,7,22,29,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,6,22,28,"NF",7,5,5,22,27,"NF",7,5,2,19,21
"42","Congo (Kinshasa)","NF",6,6,6,12,"NF",6,6,8,13,"NF",6,6,8,13,"NF",6,6,8,12,20,"NF",5,6,14,12,26,"NF",5,6,13,12,25,"NF",6,6,11,11,22,"NF",6,6,11,10,21,"NF",6,6,11,10,21,"NF",6,6,9,11,20,"NF",6,6,9,11,20,"NF",6,6,9,11,20,"NF",6,6,9,16,25,"NF",6,6,9,16,25,"NF",7,6,4,15,19,"NF",7,6,4,13,17
"43","Costa Rica","F",1,2,38,52,"F",1,2,38,52,"F",1,1,38,54,"F",1,1,38,54,92,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,38,53,91,"F",1,1,38,53,91
"44","Cote d’Ivoire","NF",6,6,11,15,"NF",6,5,11,20,"NF",6,6,6,15,"NF",6,6,6,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Croatia","F",2,2,31,49,"F",2,2,31,48,"F",2,2,34,48,"F",2,2,35,49,84,"F",2,2,35,50,85,"F",2,2,35,50,85,"F",2,2,35,49,84,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",1,2,37,50,87,"F",1,2,37,50,87,"F",1,2,37,49,86
"46","Cuba","NF",7,7,3,7,"NF",7,7,2,7,"NF",7,7,1,7,"NF",7,7,1,7,8,"NF",7,7,1,6,7,"NF",7,7,1,6,7,"NF",7,6,1,8,9,"NF",7,6,1,8,9,"NF",7,6,1,9,10,"NF",7,6,1,10,11,"NF",7,6,1,10,11,"NF",7,6,1,11,12,"NF",7,6,1,13,14,"NF",7,6,1,14,15,"NF",7,6,1,14,15,"NF",7,6,1,13,14
"47","Cyprus","F",1,1,39,57,"F",1,1,39,57,"F",1,1,39,57,"F",1,1,38,57,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Czech Republic","F",1,2,37,47,"F",1,2,37,52,"F",1,1,37,56,"F",1,1,37,55,92,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,37,57,94,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,56,94,"F",1,1,37,56,93
"49","Denmark","F",1,1,40,59,"F",1,1,40,59,"F",1,1,40,59,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,57,97,"F",1,1,40,56,96,"F",1,1,40,57,97,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,57,97,"F",1,1,40,57,97
"50","Djibouti","PF",4,5,18,25,"PF",5,5,15,24,"PF",5,5,15,24,"PF",5,5,12,23,35,"PF",5,5,12,23,35,"PF",5,5,12,22,34,"PF",5,5,12,22,34,"PF",5,5,12,23,35,"NF",6,5,10,23,33,"NF",6,5,9,20,29,"NF",6,5,9,20,29,"NF",6,5,9,20,29,"NF",6,5,9,19,28,"NF",6,5,9,19,28,"NF",6,5,7,19,26,"NF",6,5,7,19,26
